timestep_time;vehicle_angle;vehicle_id;vehicle_lane;vehicle_pos;vehicle_slope;vehicle_speed;vehicle_type;vehicle_x;vehicle_y
0.00;90.00;Car.0;Lane_0;3.10;0.00;0.00;Car;3.10;-11.20
1.00;90.00;Car.0;Lane_0;4.95;0.00;1.85;Car;4.95;-11.20
2.00;90.00;Car.0;Lane_0;8.83;0.00;3.89;Car;8.83;-11.20
3.00;90.00;Car.0;Lane_0;15.42;0.00;6.59;Car;15.42;-11.20
4.00;90.00;Car.0;Lane_0;24.75;0.00;9.33;Car;24.75;-11.20
4.00;90.00;FastCar.0;Lane_0;3.10;0.00;0.00;FastCar;3.10;-11.20
5.00;90.00;Car.0;Lane_0;36.31;0.00;11.56;Car;36.31;-11.20
5.00;90.00;FastCar.0;Lane_0;6.93;0.00;3.83;FastCar;6.93;-11.20
6.00;90.00;Car.0;Lane_0;49.61;0.00;13.29;Car;49.61;-11.20
6.00;90.00;FastCar.0;Lane_0;14.76;0.00;7.83;FastCar;14.76;-11.20
7.00;90.00;Car.0;Lane_0;65.63;0.00;16.03;Car;65.63;-11.20
7.00;90.00;FastCar.0;Lane_0;24.92;0.00;10.16;FastCar;24.92;-11.20
7.00;90.00;SlowCar.0;Lane_0;3.10;0.00;0.00;Car;3.10;-11.20
8.00;90.00;Car.0;Lane_0;83.37;0.00;17.73;Car;83.37;-11.20
8.00;90.00;FastCar.0;Lane_0;37.11;0.00;12.19;FastCar;37.11;-11.20
8.00;90.00;SlowCar.0;Lane_0;5.30;0.00;2.20;Car;5.30;-11.20
9.00;90.00;Car.0;Lane_0;102.70;0.00;19.33;Car;102.70;-11.20
9.00;90.00;FastCar.0;Lane_0;52.07;0.00;14.96;FastCar;52.07;-11.20
9.00;90.00;SlowCar.0;Lane_0;9.46;0.00;4.15;Car;9.46;-11.20
10.00;90.00;Car.0;Lane_0;124.19;0.00;21.49;Car;124.19;-11.20
10.00;90.00;Car.1;Lane_0;3.10;0.00;0.00;Car;3.10;-11.20
10.00;90.00;FastCar.0;Lane_0;69.45;0.00;17.39;FastCar;69.45;-11.20
10.00;90.00;SlowCar.0;Lane_0;16.21;0.00;6.75;Car;16.21;-11.20
11.00;90.00;Car.0;Lane_0;147.26;0.00;23.07;Car;147.26;-11.20
11.00;90.00;Car.1;Lane_0;4.60;0.00;1.50;Car;4.60;-11.20
11.00;90.00;FastCar.0;Lane_0;89.30;0.00;19.84;FastCar;89.30;-11.20
11.00;90.00;SlowCar.0;Lane_0;24.94;0.00;8.73;Car;24.94;-11.20
12.00;90.00;Car.0;Lane_0;172.59;0.00;25.32;Car;172.59;-11.20
12.00;90.00;Car.1;Lane_0;8.18;0.00;3.58;Car;8.18;-11.20
12.00;90.00;FastCar.0;Lane_0;113.09;0.00;23.79;FastCar;113.09;-11.20
12.00;90.00;SlowCar.0;Lane_0;35.29;0.00;10.35;Car;35.29;-11.20
13.00;90.00;Car.0;Lane_0;200.71;0.00;28.12;Car;200.71;-11.20
13.00;90.00;Car.1;Lane_0;13.47;0.00;5.30;Car;13.47;-11.20
13.00;90.00;FastCar.0;Lane_0;139.99;0.00;26.90;FastCar;139.99;-11.20
13.00;90.00;SlowCar.0;Lane_0;47.47;0.00;12.18;Car;47.47;-11.20
14.00;90.00;Car.0;Lane_0;230.46;0.00;29.75;Car;230.46;-11.20
14.00;90.00;Car.1;Lane_0;21.36;0.00;7.89;Car;21.36;-11.20
14.00;90.00;FastCar.0;Lane_0;169.97;0.00;29.98;FastCar;169.97;-11.20
14.00;90.00;FastCar.1;Lane_0;3.10;0.00;0.00;FastCar;3.10;-11.20
14.00;90.00;SlowCar.0;Lane_0;62.50;0.00;15.03;Car;62.50;-11.20
15.00;90.00;Car.0;Lane_0;262.60;0.00;32.14;Car;262.60;-11.20
15.00;90.00;Car.1;Lane_0;31.73;0.00;10.37;Car;31.73;-11.20
15.00;90.00;FastCar.0;Lane_0;202.19;0.00;32.22;FastCar;202.19;-11.20
15.00;90.00;FastCar.1;Lane_0;5.46;0.00;2.36;FastCar;5.46;-11.20
15.00;90.00;SlowCar.0;Lane_0;79.17;0.00;16.67;Car;79.17;-11.20
16.00;90.00;Car.0;Lane_0;297.46;0.00;34.86;Car;297.46;-11.20
16.00;90.00;Car.1;Lane_0;44.38;0.00;12.65;Car;44.38;-11.20
16.00;90.00;FastCar.0;Lane_0;236.49;0.00;34.31;FastCar;236.49;-11.20
16.00;90.00;FastCar.1;Lane_0;10.02;0.00;4.56;FastCar;10.02;-11.20
16.00;90.00;SlowCar.0;Lane_0;98.04;0.00;18.87;Car;98.04;-11.20
17.00;90.00;Car.0;Lane_0;332.50;0.00;35.04;Car;332.50;-11.20
17.00;90.00;Car.1;Lane_0;59.05;0.00;14.66;Car;59.05;-11.20
17.00;90.00;Car.2;Lane_0;3.10;0.00;0.00;Car;3.10;-11.20
17.00;90.00;FastCar.0;Lane_1;272.49;0.00;36.00;FastCar;272.49;-8.00
17.00;90.00;FastCar.1;Lane_0;16.66;0.00;6.64;FastCar;16.66;-11.20
17.00;90.00;SlowCar.0;Lane_0;119.76;0.00;21.72;Car;119.76;-11.20
18.00;90.00;Car.0;Lane_0;366.51;0.00;34.01;Car;366.51;-11.20
18.00;90.00;Car.1;Lane_0;75.64;0.00;16.60;Car;75.64;-11.20
18.00;90.00;Car.2;Lane_0;4.68;0.00;1.58;Car;4.68;-11.20
18.00;90.00;FastCar.0;Lane_1;310.95;0.00;38.46;FastCar;310.95;-8.00
18.00;90.00;FastCar.1;Lane_0;25.50;0.00;8.83;FastCar;25.50;-11.20
18.00;90.00;SlowCar.0;Lane_0;143.40;0.00;23.64;Car;143.40;-11.20
19.00;90.00;Car.0;Lane_0;400.62;0.00;34.11;Car;400.62;-11.20
19.00;90.00;Car.1;Lane_0;93.89;0.00;18.25;Car;93.89;-11.20
19.00;90.00;Car.2;Lane_0;7.82;0.00;3.14;Car;7.82;-11.20
19.00;90.00;FastCar.0;Lane_1;349.96;0.00;39.01;FastCar;349.96;-8.00
19.00;90.00;FastCar.1;Lane_0;38.10;0.00;12.60;FastCar;38.10;-11.20
19.00;90.00;SlowCar.0;Lane_0;169.00;0.00;25.60;Car;169.00;-11.20
20.00;90.00;Car.0;Lane_0;434.78;0.00;34.16;Car;434.78;-11.20
20.00;90.00;Car.1;Lane_0;114.45;0.00;20.56;Car;114.45;-11.20
20.00;90.00;Car.2;Lane_0;13.36;0.00;5.54;Car;13.36;-11.20
20.00;90.00;FastCar.0;Lane_1;389.85;0.00;39.89;FastCar;389.85;-8.00
20.00;90.00;FastCar.1;Lane_0;53.67;0.00;15.57;FastCar;53.67;-11.20
20.00;90.00;SlowCar.0;Lane_0;197.16;0.00;28.17;Car;197.16;-11.20
21.00;90.00;Car.0;Lane_0;469.49;0.00;34.71;Car;469.49;-11.20
21.00;90.00;Car.1;Lane_0;137.28;0.00;22.83;Car;137.28;-11.20
21.00;90.00;Car.2;Lane_0;20.82;0.00;7.46;Car;20.82;-11.20
21.00;90.00;FastCar.0;Lane_1;429.80;0.00;39.94;FastCar;429.80;-8.00
21.00;90.00;FastCar.1;Lane_0;71.52;0.00;17.86;FastCar;71.52;-11.20
21.00;90.00;FastCar.2;Lane_0;3.10;0.00;0.00;FastCar;3.10;-11.20
21.00;90.00;SlowCar.0;Lane_0;227.95;0.00;30.79;Car;227.95;-11.20
22.00;90.00;Car.0;Lane_0;504.36;0.00;34.87;Car;504.36;-11.20
22.00;90.00;Car.1;Lane_0;161.98;0.00;24.70;Car;161.98;-11.20
22.00;90.00;Car.2;Lane_0;31.17;0.00;10.35;Car;31.17;-11.20
22.00;90.00;FastCar.0;Lane_1;469.07;0.00;39.27;FastCar;469.07;-8.00
22.00;90.00;FastCar.1;Lane_0;91.74;0.00;20.21;FastCar;91.74;-11.20
22.00;90.00;FastCar.2;Lane_0;6.54;0.00;3.44;FastCar;6.54;-11.20
22.00;90.00;SlowCar.0;Lane_0;260.44;0.00;32.49;Car;260.44;-11.20
23.00;90.00;Car.0;Lane_0;538.66;0.00;34.31;Car;538.66;-11.20
23.00;90.00;Car.1;Lane_0;189.17;0.00;27.19;Car;189.17;-11.20
23.00;90.00;Car.2;Lane_0;43.03;0.00;11.85;Car;43.03;-11.20
23.00;90.00;FastCar.0;Lane_1;509.19;0.00;40.12;FastCar;509.19;-8.00
23.00;90.00;FastCar.1;Lane_0;114.14;0.00;22.41;FastCar;114.14;-11.20
23.00;90.00;FastCar.2;Lane_0;13.43;0.00;6.89;FastCar;13.43;-11.20
23.00;90.00;SlowCar.0;Lane_0;294.30;0.00;33.86;Car;294.30;-11.20
24.00;90.00;Car.0;Lane_0;572.47;0.00;33.81;Car;572.47;-11.20
24.00;90.00;Car.1;Lane_0;218.33;0.00;29.16;Car;218.33;-11.20
24.00;90.00;Car.2;Lane_0;56.74;0.00;13.71;Car;56.74;-11.20
24.00;90.00;Car.3;Lane_0;3.10;0.00;0.00;Car;3.10;-11.20
24.00;90.00;FastCar.0;Lane_1;547.79;0.00;38.59;FastCar;547.79;-8.00
24.00;90.00;FastCar.1;Lane_0;139.10;0.00;24.96;FastCar;139.10;-11.20
24.00;90.00;FastCar.2;Lane_0;22.71;0.00;9.28;FastCar;22.71;-11.20
24.00;90.00;SlowCar.0;Lane_0;328.76;0.00;34.46;Car;328.76;-11.20
25.00;90.00;Car.0;Lane_0;607.26;0.00;34.79;Car;607.26;-11.20
25.00;90.00;Car.1;Lane_0;249.54;0.00;31.21;Car;249.54;-11.20
25.00;90.00;Car.2;Lane_0;72.06;0.00;15.32;Car;72.06;-11.20
25.00;90.00;Car.3;Lane_0;5.06;0.00;1.96;Car;5.06;-11.20
25.00;90.00;FastCar.0;Lane_1;588.07;0.00;40.29;FastCar;588.07;-8.00
25.00;90.00;FastCar.1;Lane_0;166.61;0.00;27.51;FastCar;166.61;-11.20
25.00;90.00;FastCar.2;Lane_0;34.23;0.00;11.52;FastCar;34.23;-11.20
25.00;90.00;SlowCar.0;Lane_0;362.64;0.00;33.88;Car;362.64;-11.20
26.00;90.00;Car.0;Lane_0;642.31;0.00;35.05;Car;642.31;-11.20
26.00;90.00;Car.1;Lane_0;283.11;0.00;33.57;Car;283.11;-11.20
26.00;90.00;Car.2;Lane_0;89.54;0.00;17.48;Car;89.54;-11.20
26.00;90.00;Car.3;Lane_0;8.92;0.00;3.86;Car;8.92;-11.20
26.00;90.00;FastCar.0;Lane_1;628.01;0.00;39.94;FastCar;628.01;-8.00
26.00;90.00;FastCar.1;Lane_0;197.71;0.00;31.10;FastCar;197.71;-11.20
26.00;90.00;FastCar.2;Lane_0;47.76;0.00;13.53;FastCar;47.76;-11.20
26.00;90.00;SlowCar.0;Lane_0;396.35;0.00;33.72;Car;396.35;-11.20
27.00;90.00;Car.0;Lane_0;676.05;0.00;33.74;Car;676.05;-11.20
27.00;90.00;Car.1;Lane_0;317.55;0.00;34.44;Car;317.55;-11.20
27.00;90.00;Car.2;Lane_0;108.63;0.00;19.09;Car;108.63;-11.20
27.00;90.00;Car.3;Lane_0;14.92;0.00;6.00;Car;14.92;-11.20
27.00;90.00;FastCar.0;Lane_1;666.63;0.00;38.62;FastCar;666.63;-8.00
27.00;90.00;FastCar.1;Lane_0;231.64;0.00;33.92;FastCar;231.64;-11.20
27.00;90.00;FastCar.2;Lane_0;64.54;0.00;16.77;FastCar;64.54;-11.20
27.00;90.00;SlowCar.0;Lane_0;430.11;0.00;33.76;Car;430.11;-11.20
28.00;90.00;Car.0;Lane_0;710.93;0.00;34.88;Car;710.93;-11.20
28.00;90.00;Car.1;Lane_0;351.21;0.00;33.65;Car;351.21;-11.20
28.00;90.00;Car.2;Lane_0;130.59;0.00;21.96;Car;130.59;-11.20
28.00;90.00;Car.3;Lane_0;22.61;0.00;7.69;Car;22.61;-11.20
28.00;90.00;Car.4;Lane_0;3.10;0.00;0.00;Car;3.10;-11.20
28.00;90.00;FastCar.0;Lane_1;705.20;0.00;38.57;FastCar;705.20;-8.00
28.00;90.00;FastCar.1;Lane_0;269.27;0.00;37.63;FastCar;269.27;-11.20
28.00;90.00;FastCar.2;Lane_0;83.48;0.00;18.94;FastCar;83.48;-11.20
28.00;90.00;SlowCar.0;Lane_0;464.96;0.00;34.85;Car;464.96;-11.20
29.00;90.00;Car.0;Lane_0;745.53;0.00;34.59;Car;745.53;-11.20
29.00;90.00;Car.1;Lane_0;386.10;0.00;34.90;Car;386.10;-11.20
29.00;90.00;Car.2;Lane_0;154.84;0.00;24.25;Car;154.84;-11.20
29.00;90.00;Car.3;Lane_0;33.26;0.00;10.64;Car;33.26;-11.20
29.00;90.00;Car.4;Lane_0;4.77;0.00;1.67;Car;4.77;-11.20
29.00;90.00;FastCar.0;Lane_1;743.52;0.00;38.33;FastCar;743.52;-8.00
29.00;90.00;FastCar.1;Lane_0;306.06;0.00;36.79;FastCar;306.06;-11.20
29.00;90.00;FastCar.2;Lane_0;106.07;0.00;22.59;FastCar;106.07;-11.20
29.00;90.00;SlowCar.0;Lane_0;499.26;0.00;34.30;Car;499.26;-11.20
30.00;90.00;Car.0;Lane_0;780.01;0.00;34.48;Car;780.01;-11.20
30.00;90.00;Car.1;Lane_0;419.96;0.00;33.86;Car;419.96;-11.20
30.00;90.00;Car.2;Lane_0;180.94;0.00;26.10;Car;180.94;-11.20
30.00;90.00;Car.3;Lane_0;46.80;0.00;13.54;Car;46.80;-11.20
30.00;90.00;Car.4;Lane_0;8.76;0.00;3.99;Car;8.76;-11.20
30.00;90.00;FastCar.0;Lane_1;782.75;0.00;39.23;FastCar;782.75;-8.00
30.00;90.00;FastCar.1;Lane_0;343.15;0.00;37.09;FastCar;343.15;-11.20
30.00;90.00;FastCar.2;Lane_0;131.12;0.00;25.05;FastCar;131.12;-11.20
30.00;90.00;SlowCar.0;Lane_0;534.21;0.00;34.95;Car;534.21;-11.20
31.00;90.00;Car.0;Lane_0;814.04;0.00;34.04;Car;814.04;-11.20
31.00;90.00;Car.1;Lane_0;454.78;0.00;34.82;Car;454.78;-11.20
31.00;90.00;Car.2;Lane_0;209.60;0.00;28.66;Car;209.60;-11.20
31.00;90.00;Car.3;Lane_0;62.20;0.00;15.40;Car;62.20;-11.20
31.00;90.00;Car.4;Lane_0;14.97;0.00;6.21;Car;14.97;-11.20
31.00;90.00;FastCar.0;Lane_1;821.18;0.00;38.42;FastCar;821.18;-8.00
31.00;90.00;FastCar.1;Lane_1;379.20;0.00;36.05;FastCar;379.20;-8.00
31.00;90.00;FastCar.2;Lane_0;158.95;0.00;27.84;FastCar;158.95;-11.20
31.00;90.00;SlowCar.0;Lane_0;567.88;0.00;33.67;Car;567.88;-11.20
32.00;90.00;Car.0;Lane_0;847.69;0.00;33.65;Car;847.69;-11.20
32.00;90.00;Car.1;Lane_0;488.96;0.00;34.18;Car;488.96;-11.20
32.00;90.00;Car.2;Lane_0;240.68;0.00;31.09;Car;240.68;-11.20
32.00;90.00;Car.3;Lane_0;79.74;0.00;17.55;Car;79.74;-11.20
32.00;90.00;Car.4;Lane_0;23.14;0.00;8.18;Car;23.14;-11.20
32.00;90.00;FastCar.0;Lane_1;860.23;0.00;39.05;FastCar;860.23;-8.00
32.00;90.00;FastCar.1;Lane_1;417.85;0.00;38.65;FastCar;417.85;-8.00
32.00;90.00;FastCar.2;Lane_0;188.41;0.00;29.46;FastCar;188.41;-11.20
32.00;90.00;SlowCar.0;Lane_0;602.53;0.00;34.65;Car;602.53;-11.20
32.00;90.00;SlowCar.1;Lane_0;3.10;0.00;0.00;Car;3.10;-11.20
33.00;90.00;Car.0;Lane_0;881.43;0.00;33.74;Car;881.43;-11.20
33.00;90.00;Car.1;Lane_0;523.53;0.00;34.57;Car;523.53;-11.20
33.00;90.00;Car.2;Lane_0;274.31;0.00;33.62;Car;274.31;-11.20
33.00;90.00;Car.3;Lane_0;98.80;0.00;19.06;Car;98.80;-11.20
33.00;90.00;Car.4;Lane_0;34.22;0.00;11.07;Car;34.22;-11.20
33.00;90.00;FastCar.0;Lane_1;899.39;0.00;39.16;FastCar;899.39;-8.00
33.00;90.00;FastCar.1;Lane_1;456.82;0.00;38.98;FastCar;456.82;-8.00
33.00;90.00;FastCar.2;Lane_0;219.07;0.00;30.66;FastCar;219.07;-11.20
33.00;90.00;SlowCar.0;Lane_0;636.80;0.00;34.27;Car;636.80;-11.20
33.00;90.00;SlowCar.1;Lane_0;4.60;0.00;1.50;Car;4.60;-11.20
34.00;90.00;Car.0;Lane_0;915.41;0.00;33.98;Car;915.41;-11.20
34.00;90.00;Car.1;Lane_0;557.23;0.00;33.71;Car;557.23;-11.20
34.00;90.00;Car.2;Lane_0;308.63;0.00;34.32;Car;308.63;-11.20
34.00;90.00;Car.3;Lane_0;120.53;0.00;21.73;Car;120.53;-11.20
34.00;90.00;Car.4;Lane_0;47.20;0.00;12.98;Car;47.20;-11.20
34.00;90.00;FastCar.0;Lane_1;939.15;0.00;39.76;FastCar;939.15;-8.00
34.00;90.00;FastCar.1;Lane_1;495.48;0.00;38.66;FastCar;495.48;-8.00
34.00;90.00;FastCar.2;Lane_0;252.86;0.00;33.79;FastCar;252.86;-11.20
34.00;90.00;SlowCar.0;Lane_0;671.75;0.00;34.95;Car;671.75;-11.20
34.00;90.00;SlowCar.1;Lane_0;8.68;0.00;4.08;Car;8.68;-11.20
35.00;90.00;Car.0;Lane_0;950.22;0.00;34.81;Car;950.22;-11.20
35.00;90.00;Car.1;Lane_0;591.79;0.00;34.55;Car;591.79;-11.20
35.00;90.00;Car.2;Lane_0;342.62;0.00;33.99;Car;342.62;-11.20
35.00;90.00;Car.3;Lane_0;144.60;0.00;24.07;Car;144.60;-11.20
35.00;90.00;Car.4;Lane_0;62.74;0.00;15.54;Car;62.74;-11.20
35.00;90.00;FastCar.0;Lane_1;977.90;0.00;38.75;FastCar;977.90;-8.00
35.00;90.00;FastCar.1;Lane_1;534.67;0.00;39.19;FastCar;534.67;-8.00
35.00;90.00;FastCar.2;Lane_1;287.32;0.00;34.46;FastCar;287.32;-8.00
35.00;90.00;SlowCar.0;Lane_0;706.75;0.00;34.99;Car;706.75;-11.20
35.00;90.00;SlowCar.1;Lane_0;15.38;0.00;6.70;Car;15.38;-11.20
36.00;90.00;Car.0;Lane_0;984.61;0.00;34.39;Car;984.61;-11.20
36.00;90.00;Car.1;Lane_0;626.10;0.00;34.31;Car;626.10;-11.20
36.00;90.00;Car.2;Lane_0;377.15;0.00;34.53;Car;377.15;-11.20
36.00;90.00;Car.3;Lane_0;170.28;0.00;25.68;Car;170.28;-11.20
36.00;90.00;Car.4;Lane_0;80.79;0.00;18.05;Car;80.79;-11.20
36.00;90.00;FastCar.0;Lane_1;1016.73;0.00;38.83;FastCar;1016.73;-8.00
36.00;90.00;FastCar.1;Lane_1;574.22;0.00;39.55;FastCar;574.22;-8.00
36.00;90.00;FastCar.2;Lane_1;325.73;0.00;38.41;FastCar;325.73;-8.00
36.00;90.00;SlowCar.0;Lane_0;740.41;0.00;33.67;Car;740.41;-11.20
36.00;90.00;SlowCar.1;Lane_0;24.18;0.00;8.80;Car;24.18;-11.20
36.00;90.00;SlowCar.2;Lane_0;3.10;0.00;0.00;Car;3.10;-11.20
37.00;90.00;Car.0;Lane_0;1018.66;0.00;34.05;Car;1018.66;-11.20
37.00;90.00;Car.1;Lane_0;660.29;0.00;34.19;Car;660.29;-11.20
37.00;90.00;Car.2;Lane_0;411.70;0.00;34.55;Car;411.70;-11.20
37.00;90.00;Car.3;Lane_0;198.03;0.00;27.75;Car;198.03;-11.20
37.00;90.00;Car.4;Lane_0;101.70;0.00;20.91;Car;101.70;-11.20
37.00;90.00;FastCar.0;Lane_1;1055.18;0.00;38.45;FastCar;1055.18;-8.00
37.00;90.00;FastCar.1;Lane_1;613.55;0.00;39.33;FastCar;613.55;-8.00
37.00;90.00;FastCar.2;Lane_1;366.02;0.00;40.29;FastCar;366.02;-8.00
37.00;90.00;SlowCar.0;Lane_0;774.79;0.00;34.37;Car;774.79;-11.20
37.00;90.00;SlowCar.1;Lane_0;35.91;0.00;11.73;Car;35.91;-11.20
37.00;90.00;SlowCar.2;Lane_0;5.39;0.00;2.29;Car;5.39;-11.20
38.00;90.00;Car.0;Lane_0;1053.60;0.00;34.94;Car;1053.60;-11.20
38.00;90.00;Car.1;Lane_0;694.36;0.00;34.07;Car;694.36;-11.20
38.00;90.00;Car.2;Lane_0;445.86;0.00;34.16;Car;445.86;-11.20
38.00;90.00;Car.3;Lane_0;228.52;0.00;30.49;Car;228.52;-11.20
38.00;90.00;Car.4;Lane_0;124.47;0.00;22.77;Car;124.47;-11.20
38.00;90.00;FastCar.0;Lane_1;1094.58;0.00;39.40;FastCar;1094.58;-8.00
38.00;90.00;FastCar.1;Lane_1;652.53;0.00;38.98;FastCar;652.53;-8.00
38.00;90.00;FastCar.2;Lane_1;404.85;0.00;38.83;FastCar;404.85;-8.00
38.00;90.00;SlowCar.0;Lane_0;808.80;0.00;34.01;Car;808.80;-11.20
38.00;90.00;SlowCar.1;Lane_0;49.25;0.00;13.34;Car;49.25;-11.20
38.00;90.00;SlowCar.2;Lane_0;10.14;0.00;4.75;Car;10.14;-11.20
39.00;90.00;Car.0;Lane_0;1087.93;0.00;34.33;Car;1087.93;-11.20
39.00;90.00;Car.1;Lane_0;729.25;0.00;34.90;Car;729.25;-11.20
39.00;90.00;Car.2;Lane_0;480.19;0.00;34.33;Car;480.19;-11.20
39.00;90.00;Car.3;Lane_0;261.61;0.00;33.10;Car;261.61;-11.20
39.00;90.00;Car.4;Lane_0;148.97;0.00;24.51;Car;148.97;-11.20
39.00;90.00;Car.5;Lane_0;3.10;0.00;0.00;Car;3.10;-11.20
39.00;90.00;FastCar.0;Lane_1;1133.04;0.00;38.46;FastCar;1133.04;-8.00
